Timestamp,Target,PacketSize,Hop,Host,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,1024,17.|--,104.44.20.28,0.0%,10,213.2,213.8,212.4,218.6,1.8
2023-05-03 21:14:32.044651,52.253.119.179,1024,18.|--,???,100.0,10,0.0,0.0,0.0,0.0,0.0

2023-05-03 21:14:32.044651,34.155.23.105,64,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,34.155.23.105,64,1.|--,192.168.0.1,0.0%,10,1.3,1.2,0.7,1.3,0.2
2023-05-03 21:14:32.044651,34.155.23.105,64,2.|--,10.248.0.2,0.0%,10,1.6,2.0,1.6,2.4,0.3
2023-05-03 21:14:32.044651,34.155.23.105,64,3.|--,45.71.39.254,0.0%,10,2.4,2.2,1.8,2.7,0.3
2023-05-03 21:14:32.044651,34.155.23.105,64,4.|--,172.16.201.180,0.0%,10,3.4,4.2,3.0,10.1,2.1
2023-05-03 21:14:32.044651,34.155.23.105,64,5.|--,172.18.9.4,0.0%,10,3.5,3.8,3.2,4.4,0.4
2023-05-03 21:14:32.044651,34.155.23.105,64,6.|--,172.18.9.6,0.0%,10,4.3,4.0,3.4,4.6,0.4
2023-05-03 21:14:32.044651,34.155.23.105,64,7.|--,142.250.167.108,0.0%,10,17.8,17.6,17.0,17.8,0.2
2023-05-03 21:14:32.044651,34.155.23.105,64,8.|--,34.155.23.105,0.0%,10,172.7,172.6,172.0,173.2,0.4

2023-05-03 21:14:32.044651,34.155.23.105,128,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,34.155.23.105,128,1.|--,192.168.0.1,0.0%,10,1.3,1.3,1.1,1.3,0.1
2023-05-03 21:14:32.044651,34.155.23.105,128,2.|--,10.248.0.2,0.0%,10,1.7,2.1,1.7,2.7,0.3
2023-05-03 21:14:32.044651,34.155.23.105,128,3.|--,45.71.39.254,0.0%,10,2.5,2.3,1.8,2.7,0.3
2023-05-03 21:14:32.044651,34.155.23.105,128,4.|--,172.16.201.180,0.0%,10,3.8,3.8,3.1,4.6,0.5
2023-05-03 21:14:32.044651,34.155.23.105,128,5.|--,172.18.9.4,0.0%,10,3.8,4.0,3.3,5.5,0.7
2023-05-03 21:14:32.044651,34.155.23.105,128,6.|--,172.18.9.6,0.0%,10,3.7,4.0,3.6,4.4,0.3
2023-05-03 21:14:32.044651,34.155.23.105,128,7.|--,142.250.167.108,0.0%,10,17.9,17.8,17.3,18.5,0.3
2023-05-03 21:14:32.044651,34.155.23.105,128,8.|--,34.155.23.105,0.0%,10,164.8,164.9,164.2,166.1,0.5

2023-05-03 21:14:32.044651,34.155.23.105,256,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,34.155.23.105,256,1.|--,192.168.0.1,0.0%,10,1.3,1.3,1.0,1.4,0.1
2023-05-03 21:14:32.044651,34.155.23.105,256,2.|--,10.248.0.2,0.0%,10,2.2,2.2,1.7,2.8,0.4
2023-05-03 21:14:32.044651,34.155.23.105,256,3.|--,45.71.39.254,0.0%,10,2.0,2.2,1.7,2.7,0.3
2023-05-03 21:14:32.044651,34.155.23.105,256,4.|--,172.16.201.180,0.0%,10,3.3,3.5,3.0,4.0,0.3
2023-05-03 21:14:32.044651,34.155.23.105,256,5.|--,172.18.9.4,0.0%,10,4.5,4.0,3.5,4.5,0.4
2023-05-03 21:14:32.044651,34.155.23.105,256,6.|--,172.18.9.6,0.0%,10,4.0,4.0,3.4,4.6,0.4
2023-05-03 21:14:32.044651,34.155.23.105,256,7.|--,142.250.167.108,0.0%,10,17.5,17.7,17.1,18.6,0.5
2023-05-03 21:14:32.044651,34.155.23.105,256,8.|--,34.155.23.105,0.0%,10,172.3,172.8,172.1,174.2,0.6

2023-05-03 21:14:32.044651,34.155.23.105,512,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,34.155.23.105,512,1.|--,192.168.0.1,0.0%,10,1.2,1.3,1.1,1.4,0.1
2023-05-03 21:14:32.044651,34.155.23.105,512,2.|--,10.248.0.2,0.0%,10,2.1,2.3,1.7,2.7,0.3
2023-05-03 21:14:32.044651,34.155.23.105,512,3.|--,45.71.39.254,0.0%,10,2.2,3.3,1.5,9.5,2.3
2023-05-03 21:14:32.044651,34.155.23.105,512,4.|--,172.16.201.180,0.0%,10,3.4,4.0,3.3,5.9,0.8
2023-05-03 21:14:32.044651,34.155.23.105,512,5.|--,172.18.9.4,0.0%,10,4.2,4.0,3.5,4.3,0.3
2023-05-03 21:14:32.044651,34.155.23.105,512,6.|--,172.18.9.6,0.0%,10,4.1,4.0,3.4,4.5,0.3
2023-05-03 21:14:32.044651,34.155.23.105,512,7.|--,142.250.167.108,0.0%,10,17.6,17.8,17.3,19.7,0.7
2023-05-03 21:14:32.044651,34.155.23.105,512,8.|--,34.155.23.105,0.0%,10,178.8,179.1,178.6,180.0,0.4

2023-05-03 21:14:32.044651,34.155.23.105,1024,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,34.155.23.105,1024,1.|--,192.168.0.1,0.0%,10,1.4,1.3,1.1,1.4,0.1
2023-05-03 21:14:32.044651,34.155.23.105,1024,2.|--,10.248.0.2,0.0%,10,2.0,2.3,1.8,3.4,0.5
2023-05-03 21:14:32.044651,34.155.23.105,1024,3.|--,45.71.39.254,0.0%,10,12.7,3.8,1.8,12.7,3.6
2023-05-03 21:14:32.044651,34.155.23.105,1024,4.|--,172.16.201.180,0.0%,10,3.9,3.7,2.7,4.3,0.4
2023-05-03 21:14:32.044651,34.155.23.105,1024,5.|--,172.18.9.4,0.0%,10,3.8,3.9,3.2,4.6,0.4
2023-05-03 21:14:32.044651,34.155.23.105,1024,6.|--,172.18.9.6,0.0%,10,3.9,4.1,3.5,4.9,0.4
2023-05-03 21:14:32.044651,34.155.23.105,1024,7.|--,142.250.167.108,0.0%,10,17.5,17.8,17.3,18.5,0.4
2023-05-03 21:14:32.044651,34.155.23.105,1024,8.|--,34.155.23.105,0.0%,10,169.4,167.7,167.0,169.4,0.7

2023-05-03 21:14:32.044651,20.164.37.45,64,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,20.164.37.45,64,1.|--,192.168.0.1,0.0%,10,0.7,1.1,0.7,1.3,0.2
2023-05-03 21:14:32.044651,20.164.37.45,64,2.|--,10.248.0.2,0.0%,10,2.1,2.2,1.6,2.6,0.3
2023-05-03 21:14:32.044651,20.164.37.45,64,3.|--,45.71.39.254,0.0%,10,1.9,2.1,1.8,2.6,0.3
2023-05-03 21:14:32.044651,20.164.37.45,64,4.|--,172.16.201.180,0.0%,10,3.2,3.6,3.1,4.1,0.3
2023-05-03 21:14:32.044651,20.164.37.45,64,5.|--,172.18.9.4,0.0%,10,3.8,4.4,3.6,8.7,1.5
2023-05-03 21:14:32.044651,20.164.37.45,64,6.|--,172.18.9.6,0.0%,10,3.5,3.8,3.4,4.6,0.4
2023-05-03 21:14:32.044651,20.164.37.45,64,7.|--,67.73.160.1,0.0%,10,3.5,7.2,3.3,13.7,4.5
2023-05-03 21:14:32.044651,20.164.37.45,64,8.|--,200.189.207.210,0.0%,10,18.8,21.5,18.2,38.5,6.6
2023-05-03 21:14:32.044651,20.164.37.45,64,9.|--,4.68.68.86,0.0%,10,19.1,22.0,17.8,38.1,7.2
2023-05-03 21:14:32.044651,20.164.37.45,64,10.|--,104.44.235.212,0.0%,10,65.6,61.2,59.6,65.6,1.8
2023-05-03 21:14:32.044651,20.164.37.45,64,11.|--,104.44.33.155,0.0%,10,334.1,334.1,333.8,334.5,0.3
2023-05-03 21:14:32.044651,20.164.37.45,64,12.|--,104.44.19.15,10.0%,10,334.0,334.4,333.7,336.7,0.9
2023-05-03 21:14:32.044651,20.164.37.45,64,13.|--,104.44.16.47,50.0%,10,335.1,334.5,333.8,335.1,0.5
2023-05-03 21:14:32.044651,20.164.37.45,64,14.|--,104.44.29.8,0.0%,10,333.9,334.4,333.9,334.9,0.4
2023-05-03 21:14:32.044651,20.164.37.45,64,15.|--,104.44.29.144,0.0%,10,334.1,334.1,333.5,334.6,0.3
2023-05-03 21:14:32.044651,20.164.37.45,64,16.|--,104.44.29.233,0.0%,10,334.8,334.5,333.9,335.1,0.4
2023-05-03 21:14:32.044651,20.164.37.45,64,17.|--,104.44.29.152,0.0%,10,334.5,334.2,333.8,335.1,0.4
2023-05-03 21:14:32.044651,20.164.37.45,64,18.|--,104.44.29.167,0.0%,10,334.2,334.2,333.8,335.0,0.4
2023-05-03 21:14:32.044651,20.164.37.45,64,19.|--,104.44.30.33,0.0%,10,334.3,333.9,333.5,334.3,0.3
2023-05-03 21:14:32.044651,20.164.37.45,64,20.|--,104.44.20.64,0.0%,10,334.6,333.0,331.8,334.6,0.9
2023-05-03 21:14:32.044651,20.164.37.45,64,21.|--,???,100.0,10,0.0,0.0,0.0,0.0,0.0

2023-05-03 21:14:32.044651,20.164.37.45,128,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,20.164.37.45,128,1.|--,192.168.0.1,0.0%,10,1.2,1.2,0.7,1.3,0.2
2023-05-03 21:14:32.044651,20.164.37.45,128,2.|--,10.248.0.2,0.0%,10,1.8,2.0,1.6,2.5,0.3
2023-05-03 21:14:32.044651,20.164.37.45,128,3.|--,45.71.39.254,0.0%,10,2.3,2.0,1.7,2.6,0.3
2023-05-03 21:14:32.044651,20.164.37.45,128,4.|--,172.16.201.180,0.0%,10,3.1,3.6,3.0,4.2,0.4
